freq,amp,phase
0.1,1.53846153846154,1.19944070732821
0.15,1.53846153846154,3.12477162688141
0.25,1.53846153846154,-2.05874530372256
0.35,1.53846153846154,-2.27994332643257
0.55,1.53846153846154,2.71807745730766
0.65,1.53846153846154,1.23664498045944
0.85,1.17647058823529,-2.72690133807122
0.95,1.05263157894737,1.60512169863906
1.15,0.869565217391304,1.59515113718246
1.45,0.689655172413793,2.65794154632213
1.55,0.645161290322581,1.32904925551912
1.85,0.54054054054054,-2.36077517121721
