freq,amp,phase
0.1,1.53846153846154,-1.33344687441542
0.15,1.53846153846154,-2.32459903974269
0.25,1.53846153846154,-3.01990646845438
0.35,1.53846153846154,1.12365679296955
0.55,1.53846153846154,-1.81189398455213
0.65,1.53846153846154,-1.4731137850516
0.85,1.17647058823529,-0.0529474017957211
0.95,1.05263157894737,-2.80630589415645
1.15,0.869565217391304,0.46569464983075
1.45,0.689655172413793,-2.21966982759821
1.55,0.645161290322581,0.5611232373205
1.85,0.54054054054054,1.2551187926698
