freq,amp,phase
0.1,1.53846153846154,1.17181988858429
0.15,1.53846153846154,2.10251510507067
0.25,1.53846153846154,-3.02668401808714
0.35,1.53846153846154,1.57170308433672
0.55,1.53846153846154,3.0716048110691
0.65,1.53846153846154,1.55927079334601
0.85,1.17647058823529,-1.37951108316393
0.95,1.05263157894737,1.81759562619717
1.15,0.869565217391304,-2.49300452574233
1.45,0.689655172413793,-0.32739463074049
1.55,0.645161290322581,2.56728126161419
1.85,0.54054054054054,-1.29676055054824
