freq,amp,phase
0.1,1.53846153846154,-2.49860647396018
0.15,1.53846153846154,-0.540002154572152
0.25,1.53846153846154,1.22145221474836
0.35,1.53846153846154,-0.539227552759985
0.55,1.53846153846154,-2.82772581429694
0.65,1.53846153846154,0.225543770228897
0.85,1.17647058823529,1.02915210823967
0.95,1.05263157894737,0.0935510501217148
1.15,0.869565217391304,2.79347123849057
1.45,0.689655172413793,0.543841358744456
1.55,0.645161290322581,2.53464898702493
1.85,0.54054054054054,-2.27781361238929
