freq,amp,phase
0.1,1.53846153846154,-3.01668208874283
0.15,1.53846153846154,-2.97690416595303
0.25,1.53846153846154,-2.96373774395968
0.35,1.53846153846154,-1.59460289116134
0.55,1.53846153846154,2.26212231733833
0.65,1.53846153846154,0.243982772933618
0.85,1.17647058823529,0.331890280374557
0.95,1.05263157894737,2.1490434774754
1.15,0.869565217391304,-2.36138870448459
1.45,0.689655172413793,-1.38742986362266
1.55,0.645161290322581,0.53884139438114
1.85,0.54054054054054,2.95055710615618
