freq,amp,phase
0.1,1.53846153846154,-1.85698128205691
0.15,1.53846153846154,2.37578192072
0.25,1.53846153846154,-2.96951133040957
0.35,1.53846153846154,1.07107895530442
0.55,1.53846153846154,-0.51958925074118
0.65,1.53846153846154,0.368759067771237
0.85,1.17647058823529,-2.2595155036883
0.95,1.05263157894737,-1.89688428804129
1.15,0.869565217391304,1.88963385511619
1.45,0.689655172413793,2.94217425247688
1.55,0.645161290322581,-1.1722904624648
1.85,0.54054054054054,1.20839863301178
