freq,amp,phase
0.1,1.53846153846154,2.36492279148825
0.15,1.53846153846154,2.47938679024253
0.25,1.53846153846154,-2.60724411425053
0.35,1.53846153846154,-2.89620421340586
0.55,1.53846153846154,-2.07451665666955
0.65,1.53846153846154,2.37593942156779
0.85,1.17647058823529,-2.52366127224234
0.95,1.05263157894737,-0.495695411416758
1.15,0.869565217391304,2.877004768153
1.45,0.689655172413793,0.208383631250885
1.55,0.645161290322581,1.20559946315764
1.85,0.54054054054054,-1.159149476667
